fecha_despacho_efectivo,fecha_despacho_programado,despacho_confirmado,fecha_despacho_difiere_de_programado,distrito_nombre,producto_despachado,cantidad_despachada,unidad,cliente,placa_despacho,familia,familia_codigo,ambito,fecha_despacho_efectivo_hora
2026-09-14,2026-09-14,True,False,Planta Engarrafadora Catavi,GLP DISTRIB. 10 KILOS NAL,2000.0,L,DISTRIBUIDORA DE GAS ORVIGAS S.R.L.,2328-UKS,GLP,GLP,,
2026-09-14,2026-09-14,True,False,Planta Engarrafadora Catavi,GLP DISTRIB. 10 KILOS NAL,1000.0,L,DISTRIBUIDORA DE GAS ORVIGAS S.R.L.,963FNH,GLP,GLP,,
2026-09-12,2026-09-12,True,False,Planta Engarrafadora Catavi,GLP DISTRIB. 10 KILOS NAL,1000.0,L,DISTRIBUIDORA DE GAS ORVIGAS S.R.L.,963FNH,GLP,GLP,,
2026-09-12,2026-09-12,True,False,Planta Engarrafadora Catavi,GLP DISTRIB. 10 KILOS NAL,2000.0,L,DISTRIBUIDORA DE GAS ORVIGAS S.R.L.,2866YTS,GLP,GLP,,
2026-09-11,2026-09-11,True,False,Planta Engarrafadora Catavi,GLP DISTRIB. 10 KILOS NAL,1000.0,L,DISTRIBUIDORA DE GAS ORVIGAS S.R.L.,2803XZH,GLP,GLP,,
2026-09-11,2026-09-11,True,False,Planta Engarrafadora Catavi,GLP DISTRIB. 10 KILOS NAL,2000.0,L,DISTRIBUIDORA DE GAS ORVIGAS S.R.L.,2866YTS,GLP,GLP,,
2026-09-15,2026-09-15,True,False,Planta Engarrafadora Catavi,GLP DISTRIB. 10 KILOS NAL,1000.0,L,DISTRIBUIDORA DE GAS ORVIGAS S.R.L.,1564GHN,GLP,GLP,,
2026-09-15,2026-09-15,True,False,Planta Engarrafadora Catavi,GLP DISTRIB. 10 KILOS NAL,2000.0,L,DISTRIBUIDORA DE GAS ORVIGAS S.R.L.,2866YTS,GLP,GLP,,
2026-09-16,2026-09-16,True,False,Planta Engarrafadora Catavi,GLP DISTRIB. 10 KILOS NAL,1000.0,L,DISTRIBUIDORA DE GAS ORVIGAS S.R.L.,963FNH,GLP,GLP,,
2026-09-16,2026-09-16,True,False,Planta Engarrafadora Catavi,GLP DISTRIB. 10 KILOS NAL,2000.0,L,DISTRIBUIDORA DE GAS ORVIGAS S.R.L.,2866YTS,GLP,GLP,,
2026-09-17,2026-09-17,True,False,Planta Engarrafadora Catavi,GLP DISTRIB. 10 KILOS NAL,1000.0,L,DISTRIBUIDORA DE GAS ORVIGAS S.R.L.,2803XZH,GLP,GLP,,
2026-09-17,2026-09-17,True,False,Planta Engarrafadora Catavi,GLP DISTRIB. 10 KILOS NAL,2000.0,L,DISTRIBUIDORA DE GAS ORVIGAS S.R.L.,2866YTS,GLP,GLP,,
2026-09-18,2026-09-18,True,False,Planta Engarrafadora Catavi,GLP DISTRIB. 10 KILOS NAL,1000.0,L,DISTRIBUIDORA DE GAS ORVIGAS S.R.L.,1564GHN,GLP,GLP,,
2026-09-18,2026-09-18,True,False,Planta Engarrafadora Catavi,GLP DISTRIB. 10 KILOS NAL,2000.0,L,DISTRIBUIDORA DE GAS ORVIGAS S.R.L.,2866YTS,GLP,GLP,,
2026-09-19,2026-09-19,True,False,Planta Engarrafadora Catavi,GLP DISTRIB. 10 KILOS NAL,1000.0,L,DISTRIBUIDORA DE GAS ORVIGAS S.R.L.,963FNH,GLP,GLP,,
2026-09-19,2026-09-19,True,False,Planta Engarrafadora Catavi,GLP DISTRIB. 10 KILOS NAL,2000.0,L,DISTRIBUIDORA DE GAS ORVIGAS S.R.L.,2866YTS,GLP,GLP,,
2026-09-21,2026-09-21,True,False,Planta Engarrafadora Catavi,GLP DISTRIB. 10 KILOS NAL,1000.0,L,DISTRIBUIDORA DE GAS ORVIGAS S.R.L.,963FNH,GLP,GLP,,
2026-09-21,2026-09-21,True,False,Planta Engarrafadora Catavi,GLP DISTRIB. 10 KILOS NAL,2000.0,L,DISTRIBUIDORA DE GAS ORVIGAS S.R.L.,2866YTS,GLP,GLP,,
2026-09-22,2026-09-22,True,False,Planta Engarrafadora Catavi,GLP DISTRIB. 10 KILOS NAL,1000.0,L,DISTRIBUIDORA DE GAS ORVIGAS S.R.L.,2803XZH,GLP,GLP,,
2026-09-22,2026-09-22,True,False,Planta Engarrafadora Catavi,GLP DISTRIB. 10 KILOS NAL,2000.0,L,DISTRIBUIDORA DE GAS ORVIGAS S.R.L.,2866YTS,GLP,GLP,,
