fecha_programacion,distrito_nombre,producto,familia,familia_codigo,cliente,volumen_programado,canal
2026-09-14,Cobija,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DISTRIBUIDORA DE GLP SOGAMI-GAS,10000.0,
2026-09-14,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,LUCIO VILLCA CONDORI,18000.0,
2026-09-14,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EºSº TISTY,18000.0,
2026-09-14,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,LUCIO VILLCA CONDORI,10000.0,
2026-09-14,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EºSº TISTY,10000.0,
2026-09-12,Cobija,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DISTRIBUIDORA DE GLP SOGAMI-GAS,5000.0,
2026-09-12,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,LUCIO VILLCA CONDORI,36000.0,
2026-09-12,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EºSº TISTY,36000.0,
2026-09-12,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,LUCIO VILLCA CONDORI,20000.0,
2026-09-12,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EºSº TISTY,20000.0,
2026-09-11,Cobija,DIESEL OIL NACIONAL GRACO,Diesel Oil Nacional,DIESEL_NACIONAL,MULTIPANDO,10000.0,
2026-09-11,Cobija,DIESEL OIL NACIONAL GRACO,Diesel Oil Nacional,DIESEL_NACIONAL,CHINA INTERNATIONAL WATER & ELECTRIC CORPORATION (SUCURSAL BOLIVIA),24000.0,
2026-09-11,Cobija,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DISTRIBUIDORA DE GLP SOGAMI-GAS,7500.0,
2026-09-11,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,LUCIO VILLCA CONDORI,20000.0,
2026-09-11,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EºSº TISTY,20000.0,
2026-09-11,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,LUCIO VILLCA CONDORI,10000.0,
2026-09-11,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EºSº TISTY,10000.0,
2026-09-10,Cobija,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DISTRIBUIDORA DE GLP SOGAMI-GAS,7500.0,
2026-09-10,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,LUCIO VILLCA CONDORI,18000.0,
2026-09-10,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EºSº TISTY,18000.0,
2026-09-10,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,LUCIO VILLCA CONDORI,10000.0,
2026-09-10,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EºSº TISTY,10000.0,
2026-09-10,Cobija,DIESEL OIL NACIONAL CF,Diesel Oil Nacional,DIESEL_NACIONAL,INDUSTRIA FORESTAL COLSER LTDA,10000.0,
2026-09-09,Cobija,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DISTRIBUIDORA DE GLP SOGAMI-GAS,7500.0,
2026-09-09,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,LUCIO VILLCA CONDORI,23000.0,
2026-09-09,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EºSº TISTY,23000.0,
2026-09-09,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,LUCIO VILLCA CONDORI,10000.0,
2026-09-09,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EºSº TISTY,10000.0,
2026-09-08,Cobija,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DISTRIBUIDORA DE GLP SOGAMI-GAS,7500.0,
2026-09-08,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,LUCIO VILLCA CONDORI,18000.0,
2026-09-08,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EºSº TISTY,18000.0,
2026-09-08,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,LUCIO VILLCA CONDORI,10000.0,
2026-09-08,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EºSº TISTY,10000.0,
2026-09-07,Cobija,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DISTRIBUIDORA DE GLP SOGAMI-GAS,10000.0,
2026-09-07,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,LUCIO VILLCA CONDORI,18000.0,
2026-09-07,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EºSº TISTY,18000.0,
2026-09-07,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,LUCIO VILLCA CONDORI,10000.0,
2026-09-07,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EºSº TISTY,10000.0,
2026-09-05,Cobija,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DISTRIBUIDORA DE GLP SOGAMI-GAS,5000.0,
2026-09-05,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,LUCIO VILLCA CONDORI,36000.0,
2026-09-05,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EºSº TISTY,36000.0,
2026-09-05,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,LUCIO VILLCA CONDORI,20000.0,
2026-09-05,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EºSº TISTY,20000.0,
2026-09-04,Cobija,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DISTRIBUIDORA DE GLP SOGAMI-GAS,10000.0,
2026-09-04,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,LUCIO VILLCA CONDORI,18000.0,
2026-09-04,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EºSº TISTY,18000.0,
2026-09-04,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,LUCIO VILLCA CONDORI,10000.0,
2026-09-04,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EºSº TISTY,10000.0,
2026-09-03,Cobija,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DISTRIBUIDORA DE GLP SOGAMI-GAS,10000.0,
2026-09-03,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,LUCIO VILLCA CONDORI,18000.0,
2026-09-03,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EºSº TISTY,18000.0,
2026-09-03,Cobija,DIESEL OIL NACIONAL GRACO,Diesel Oil Nacional,DIESEL_NACIONAL,CHINA INTERNATIONAL WATER & ELECTRIC CORPORATION (SUCURSAL BOLIVIA),32000.0,
2026-09-03,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,LUCIO VILLCA CONDORI,10000.0,
2026-09-03,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EºSº TISTY,10000.0,
2026-09-02,Cobija,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DISTRIBUIDORA DE GLP SOGAMI-GAS,7500.0,
2026-09-02,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,LUCIO VILLCA CONDORI,18000.0,
2026-09-02,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EºSº TISTY,18000.0,
2026-09-02,Cobija,DIESEL OIL NACIONAL GRACO,Diesel Oil Nacional,DIESEL_NACIONAL,CHINA INTERNATIONAL WATER & ELECTRIC CORPORATION (SUCURSAL BOLIVIA),32000.0,
2026-09-02,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,LUCIO VILLCA CONDORI,10000.0,
2026-09-02,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EºSº TISTY,10000.0,
2026-09-01,Cobija,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DISTRIBUIDORA DE GLP SOGAMI-GAS,10000.0,
2026-09-01,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,LUCIO VILLCA CONDORI,18000.0,
2026-09-01,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EºSº TISTY,18000.0,
2026-09-01,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,LUCIO VILLCA CONDORI,10000.0,
2026-09-01,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EºSº TISTY,10000.0,
2026-09-15,Cobija,DIESEL OIL NACIONAL GRACO,Diesel Oil Nacional,DIESEL_NACIONAL,VALDIR AFONSO WAGNER,5000.0,
2026-09-15,Cobija,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DISTRIBUIDORA DE GLP SOGAMI-GAS,7500.0,
2026-09-15,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,LUCIO VILLCA CONDORI,18000.0,
2026-09-15,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EºSº TISTY,18000.0,
2026-09-15,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,LUCIO VILLCA CONDORI,10000.0,
2026-09-15,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EºSº TISTY,10000.0,
2026-09-16,Cobija,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DISTRIBUIDORA DE GLP SOGAMI-GAS,7500.0,
2026-09-16,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,LUCIO VILLCA CONDORI,18000.0,
2026-09-16,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EºSº TISTY,18000.0,
2026-09-16,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,LUCIO VILLCA CONDORI,10000.0,
2026-09-16,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EºSº TISTY,10000.0,
2026-09-16,Cobija,DIESEL OIL NACIONAL GRACO,Diesel Oil Nacional,DIESEL_NACIONAL,MULTIPANDO,10000.0,
2026-09-17,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,LUCIO VILLCA CONDORI,18000.0,
2026-09-17,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EºSº TISTY,18000.0,
2026-09-17,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,LUCIO VILLCA CONDORI,10000.0,
2026-09-17,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EºSº TISTY,10000.0,
2026-09-17,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO COBIJA,15000.0,TRANSFERENCIAS
2026-09-17,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO COBIJA,20000.0,TRANSFERENCIAS
2026-09-16,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO COBIJA,15000.0,TRANSFERENCIAS
2026-09-16,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO COBIJA,20000.0,TRANSFERENCIAS
2026-09-15,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO COBIJA,15000.0,TRANSFERENCIAS
2026-09-15,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO COBIJA,20000.0,TRANSFERENCIAS
2026-09-14,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO COBIJA,15000.0,TRANSFERENCIAS
2026-09-14,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO COBIJA,20000.0,TRANSFERENCIAS
2026-09-12,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO COBIJA,30000.0,TRANSFERENCIAS
2026-09-12,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO COBIJA,40000.0,TRANSFERENCIAS
2026-09-11,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO COBIJA,15000.0,TRANSFERENCIAS
2026-09-11,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO COBIJA,20000.0,TRANSFERENCIAS
2026-09-10,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO COBIJA,15000.0,TRANSFERENCIAS
2026-09-10,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO COBIJA,20000.0,TRANSFERENCIAS
2026-09-09,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO COBIJA,15000.0,TRANSFERENCIAS
2026-09-09,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO COBIJA,20000.0,TRANSFERENCIAS
2026-09-08,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO COBIJA,15000.0,TRANSFERENCIAS
2026-09-08,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO COBIJA,20000.0,TRANSFERENCIAS
2026-09-07,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO COBIJA,15000.0,TRANSFERENCIAS
2026-09-07,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO COBIJA,20000.0,TRANSFERENCIAS
2026-09-05,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO COBIJA,30000.0,TRANSFERENCIAS
2026-09-05,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO COBIJA,40000.0,TRANSFERENCIAS
2026-09-04,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO COBIJA,15000.0,TRANSFERENCIAS
2026-09-04,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO COBIJA,20000.0,TRANSFERENCIAS
2026-09-03,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO COBIJA,15000.0,TRANSFERENCIAS
2026-09-03,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO COBIJA,20000.0,TRANSFERENCIAS
2026-09-02,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO COBIJA,15000.0,TRANSFERENCIAS
2026-09-02,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO COBIJA,20000.0,TRANSFERENCIAS
2026-09-01,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO COBIJA,15000.0,TRANSFERENCIAS
2026-09-01,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO COBIJA,20000.0,TRANSFERENCIAS
2026-09-17,Cobija,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DISTRIBUIDORA DE GLP SOGAMI-GAS,8500.0,VENTAS
2026-09-17,Cobija,GLP CONSUMIDOR FINAL 10 KILOS,GLP,GLP,VENTAS DIRECTAS MOVILES COBIJA,2000.0,TRANSFERENCIAS
2026-09-17,Cobija,GLP CONSUMIDOR FINAL 10 KILOS,GLP,GLP,EL PROGRESO,3560.0,TRANSFERENCIAS
2026-09-17,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EL PROGRESO,23000.0,TRANSFERENCIAS
2026-09-17,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EL PROGRESO,10000.0,TRANSFERENCIAS
2026-09-16,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,PUESTO DE VENTA PUERTO RICO YPFB,13000.0,TRANSFERENCIAS
2026-09-16,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,PUESTO DE VENTA PUERTO RICO YPFB,8000.0,TRANSFERENCIAS
2026-09-16,Cobija,GLP CONSUMIDOR FINAL 10 KILOS,GLP,GLP,EL PROGRESO,3560.0,TRANSFERENCIAS
2026-09-16,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EL PROGRESO,15000.0,TRANSFERENCIAS
2026-09-16,Cobija,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EL PROGRESO,10000.0,TRANSFERENCIAS
2026-09-15,Cobija,GLP CONSUMIDOR FINAL 10 KILOS,GLP,GLP,EL PROGRESO,3560.0,TRANSFERENCIAS
2026-09-15,Cobija,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EL PROGRESO,23000.0,TRANSFERENCIAS
